career,domain,skills,roadmap
Machine Learning Engineer,Artificial Intelligence,"Python,NumPy,Pandas,Scikit-learn,TensorFlow,PyTorch,SQL,Statistics,Linear Algebra,Feature Engineering,Model Deployment,MLflow","Python → NumPy & Pandas → Statistics & Probability → Linear Algebra → Scikit-learn (Classical ML) → TensorFlow or PyTorch → Feature Engineering → Model Evaluation & Tuning → MLflow / Experiment Tracking → FastAPI → Docker → Deploy on AWS/GCP → Build 2 end-to-end ML Projects"
AI Engineer,Artificial Intelligence,"Python,PyTorch,TensorFlow,LLM APIs,LangChain,Vector Databases,REST APIs,Docker,Cloud,Prompt Engineering,Model Fine-tuning","Python → Deep Learning (PyTorch) → LLM APIs & Prompt Engineering → LangChain → Vector Databases (Pinecone/Weaviate) → Fine-tuning Open-Source LLMs → Build AI Agent → FastAPI → Docker → Deploy on Cloud → AI Product Portfolio"
NLP Engineer,Artificial Intelligence,"Python,PyTorch,HuggingFace Transformers,BERT,GPT,Tokenization,Text Classification,Named Entity Recognition,Summarization,SQL","Python → NLP Basics (NLTK/spaCy) → Text Preprocessing → Classical NLP → Deep Learning → HuggingFace Transformers → BERT Fine-tuning → NER & Summarization Projects → REST API → Deploy NLP Model"
Computer Vision Engineer,Artificial Intelligence,"Python,OpenCV,PyTorch,CNNs,Object Detection (YOLO),Image Segmentation,Data Augmentation,Linear Algebra","Python → Linear Algebra → OpenCV Basics → CNNs with PyTorch → Object Detection (YOLO) → Image Segmentation → Data Augmentation → Build Real-time Detection App → Deploy on Edge Device"
AI Research Scientist,Artificial Intelligence,"Python,PyTorch,Mathematics,Statistics,Linear Algebra,Calculus,Research Methods,LaTeX,Paper Writing,Experiment Design","Math (Calculus + Linear Algebra + Probability) → Python + PyTorch → Classical ML → Deep Learning → Read 50+ Papers → Reproduce a Paper → Design Novel Experiment → Submit to Conference (NeurIPS/ICML/ICLR)"
Reinforcement Learning Engineer,Artificial Intelligence,"Python,PyTorch,OpenAI Gym,Q-Learning,Policy Gradient,Calculus,Statistics,Mathematics","Python → Linear Algebra & Calculus → Classical ML → Deep Learning → RL Basics (Q-Learning) → Policy Gradient Methods → OpenAI Gym Environments → Stable Baselines3 → Build RL Agent for Game or Robot"
Data Scientist,Data Science,"Python,SQL,Pandas,NumPy,Scikit-learn,Statistics,Data Visualization,Tableau,A/B Testing,Machine Learning","Python → SQL (joins, window functions) → Pandas & NumPy → Statistics & Probability → Data Visualization → Machine Learning (Scikit-learn) → A/B Testing → Tableau or PowerBI → End-to-end Analysis Project → Storytelling with Data"
Data Analyst,Data Science,"SQL,Excel,Python,Pandas,PowerBI,Tableau,Statistics,Data Cleaning,Dashboard Design","Excel → SQL (joins, aggregations, CTEs) → Python (Pandas) → Data Cleaning & EDA → Statistics Basics → Tableau or PowerBI → Dashboard Design → Business KPI Analysis → Present Insights to Stakeholders"
Data Engineer,Data Science,"Python,SQL,PostgreSQL,Apache Spark,Kafka,Airflow,ETL Pipelines,AWS S3,dbt,Docker","SQL (advanced) → Python → PostgreSQL → ETL Concepts → Apache Spark → Airflow (workflow orchestration) → Kafka (streaming) → Cloud Data Warehouse (Redshift/BigQuery) → dbt → Build Production Data Pipeline"
Business Intelligence Analyst,Data Science,"SQL,PowerBI,Tableau,Excel,Data Modeling,DAX,Star Schema,Stakeholder Communication","Excel → SQL (advanced aggregations) → Data Modeling (Star/Snowflake schema) → PowerBI (DAX & visuals) → Tableau → Dashboard Design → KPI Reporting → Present to Business Stakeholders"
Quantitative Analyst,Data Science,"Python,Statistics,Probability,Linear Algebra,Calculus,Financial Mathematics,Time Series,Risk Modeling,R","Statistics & Probability → Linear Algebra & Calculus → Python → R → Financial Mathematics → Time Series Analysis → Risk Models → Algorithmic Trading Backtesting → Quant Finance Project"
Analytics Engineer,Data Science,"SQL,dbt,Python,Data Modeling,Airflow,Snowflake,Git","SQL (advanced) → Python → dbt (data transformation) → Data Modeling → Snowflake or BigQuery → Airflow → Git → Build Analytics Layer for Business Team"
Frontend Developer,Web Development,"HTML,CSS,JavaScript,TypeScript,React,Redux,REST APIs,Git,Responsive Design,Jest","HTML & CSS → JavaScript (ES6+) → TypeScript → React → State Management (Redux/Zustand) → REST API Integration → Responsive Design → Testing (Jest) → Git → Build 3 Frontend Projects → Deploy on Vercel"
Full Stack Developer,Web Development,"HTML,CSS,JavaScript,TypeScript,React,Node.js,Express,SQL,PostgreSQL,REST APIs,Docker,Git","HTML/CSS → JavaScript → React → Node.js & Express → PostgreSQL (SQL) → REST API Design → Authentication (JWT/OAuth) → Docker → Git → Full Stack CRUD App → Deploy on Railway or AWS"
Backend Developer,Software Engineering,"Python,SQL,PostgreSQL,MongoDB,REST APIs,System Design,Docker,Redis,Message Queues,Git","Pick Language (Python/Java/Node.js) → SQL & PostgreSQL → REST API Design → Authentication → Redis (Caching) → Message Queues → System Design Basics → Docker → Build Scalable Backend Service"
